WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
minDRej_unselPairs          0.7000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta1stJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   Pt2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
  Eta2ndJet_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
         sT_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Mej_1stPair_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
Mej_2ndPair_PAS            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
            Mee        100.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
             sT        280.0000            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   minDeltaR_ej            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
   maxDeltaR_ej            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_1stPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00
    Mej_2ndPair            -inf            +inf               -               -              0.00              0.00         0.0e+00         0.0e+00         0.0e+00         0.0e+00


TTbar_Madgraph
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -         136435.20              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -          94742.65             51.60         6.9e-01         3.8e-04         6.9e-01         3.8e-04
      PassBPTX0          0.0000          1.0000               -               -          94742.65             51.60         1.0e+00         7.7e-04         6.9e-01         3.8e-04
   PassPhysDecl            -inf            +inf               -               -          94742.65             51.60         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassBeamScraping          0.0000          1.0000               -               -          94740.72             51.60         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassPrimaryVertex          0.0000          1.0000               -               -          94696.85             51.62         1.0e+00         7.7e-04         6.9e-01         3.8e-04
PassHBHENoiseFilter            -inf            +inf               -               -          94696.85             51.62         1.0e+00         7.7e-04         6.9e-01         3.8e-04
        PassHLT            -inf            +inf               -               -          94696.85             51.62         1.0e+00         7.7e-04         6.9e-01         3.8e-04
       nEle_all            -inf            +inf               -               -          94696.85             51.62         1.0e+00         7.7e-04         6.9e-01         3.8e-04
     nEle_PtCut            -inf            +inf               -               -          94696.85             51.62         1.0e+00         7.7e-04         6.9e-01         3.8e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -            561.87              7.17         5.9e-03         7.6e-05         4.1e-03         5.3e-05
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -            561.87              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -            561.87              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -            561.87              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -            561.87              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -            561.87              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
        Mee_PAS            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
      sTele_PAS            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
       nJet_PAS            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
       nJet_all            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
     nJet_PtCut            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
nJet_PtCut_noOvrlp            -inf            +inf               -               -            561.60              7.17         1.0e+00         1.8e-02         4.1e-03         5.3e-05
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -            440.56              6.36         7.8e-01         1.5e-02         3.2e-03         4.7e-05
