ZJetMadgraph
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
      Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -          866.6020          176.0048          1.0000          0.2872      8.3358e-07      1.6930e-07
     Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -          866.6020          176.0048          1.0000          0.2872      8.3358e-07      1.6930e-07
    mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -          847.0730          174.9181          0.9775          0.2831      8.1480e-07      1.6825e-07
   maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -          847.0730          174.9181          1.0000          0.2920      8.1480e-07      1.6825e-07
       minDRej_selecPairs          0.7000            +inf               -               -          825.0643          173.5293          0.9740          0.2871      7.9363e-07      1.6692e-07
       minDRej_unselPairs          0.7000            +inf               -               -          804.7815          172.3401          0.9754          0.2928      7.7412e-07      1.6577e-07
           sT_preliminary        250.0000            +inf               -               -          300.2445          100.3796          0.3731          0.1481      2.8881e-07      9.6555e-08
             nJet_PAS_All            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
          nJet_PAS_EtaCut            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
             Pt1stEle_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
            Eta1stEle_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
             Pt2ndEle_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
            Eta2ndEle_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                  Mee_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
                sTele_PAS            -inf            +inf               -               -          300.2445          100.3796          1.0000          0.4728      2.8881e-07      9.6555e-08
