WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
Pt1stJet_noOvrlp_ID         20.0000            +inf               -               -              0.65              0.01         1.0e+00         1.8e-02         4.7e-03         5.9e-05
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.65              0.01         1.0e+00         1.8e-02         4.7e-03         5.9e-05
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.64              0.01         9.9e-01         1.7e-02         4.7e-03         5.9e-05
Pt2ndJet_noOvrlp_ID         20.0000            +inf               -               -              0.64              0.01         1.0e+00         1.8e-02         4.7e-03         5.9e-05
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.64              0.01         1.0e+00         1.8e-02         4.7e-03         5.9e-05
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.62              0.01         9.7e-01         1.7e-02         4.5e-03         5.9e-05
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -              0.62              0.01         1.0e+00         1.8e-02         4.5e-03         5.9e-05
minDRej_selecPairs          0.7000            +inf               -               -              0.60              0.01         9.6e-01         1.7e-02         4.4e-03         5.1e-05
minDRej_unselPairs          0.7000            +inf               -               -              0.57              0.01         9.6e-01         1.6e-02         4.2e-03         5.1e-05
   Pt1stJet_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
  Eta1stJet_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
   Pt2ndJet_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
  Eta2ndJet_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
         sT_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
Mej_1stPair_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
Mej_2ndPair_PAS            -inf            +inf               -               -              0.57              0.01         1.0e+00         1.7e-02         4.2e-03         5.1e-05
            Mee        100.0000            +inf               -               -              0.29              0.01         5.1e-01         1.1e-02         2.1e-03         3.7e-05
             sT        280.0000            +inf               -               -              0.14              0.00         4.8e-01         1.6e-02         1.0e-03         2.9e-05
   minDeltaR_ej            -inf            +inf               -               -              0.14              0.00         1.0e+00         4.1e-02         1.0e-03         2.9e-05
   maxDeltaR_ej            -inf            +inf               -               -              0.14              0.00         1.0e+00         4.1e-02         1.0e-03         2.9e-05
    Mej_1stPair            -inf            +inf               -               -              0.14              0.00         1.0e+00         4.1e-02         1.0e-03         2.9e-05
    Mej_2ndPair            -inf            +inf               -               -              0.14              0.00         1.0e+00         4.1e-02         1.0e-03         2.9e-05


LQenujj_M300
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -              0.50              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -              0.48              0.00         9.7e-01         0.0e+00         9.7e-01         0.0e+00
      PassBPTX0          0.0000          1.0000               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
   PassPhysDecl            -inf            +inf               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
PassBeamScraping          0.0000          1.0000               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
PassPrimaryVertex          0.0000          1.0000               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
PassHBHENoiseFilter            -inf            +inf               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
        PassHLT            -inf            +inf               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
       nEle_all            -inf            +inf               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
     nEle_PtCut            -inf            +inf               -               -              0.48              0.00         1.0e+00         0.0e+00         9.7e-01         0.0e+00
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.00              0.00         2.1e-03         0.0e+00         2.0e-03         0.0e+00
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
        Mee_PAS            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
      sTele_PAS            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
       nJet_PAS            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
       nJet_all            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
     nJet_PtCut            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
nJet_PtCut_noOvrlp            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Pt1stJet_noOvrlp_ID         20.0000            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Pt2ndJet_noOvrlp_ID         20.0000            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -              0.00              0.00         1.0e+00         0.0e+00         2.0e-03         0.0e+00
